source_id,source_kind,relationship_id,relationship_label,target_id,target_kind,description,properties_json
wp.waterways.fusioncode.conflation.v7,workflow_pattern,emits_output_type,输出数据类型,dt.waterways.fused,data_type,FusionCode V7 Waterways Conflation（wp.waterways.fusioncode.conflation.v7）输出数据类型dt.waterways.fused（dt.waterways.fused）。,"{""step_order"": 1}"
or.building.fused.v1,output_requirement,enforces_schema_policy,执行输出模式策略,osp.building.fused.v1,output_schema_policy,or.building.fused.v1（or.building.fused.v1）执行输出模式策略osp.building.fused.v1（osp.building.fused.v1）。,{}
or.poi.fused.v1,output_requirement,enforces_schema_policy,执行输出模式策略,osp.poi.fused.v1,output_schema_policy,or.poi.fused.v1（or.poi.fused.v1）执行输出模式策略osp.poi.fused.v1（osp.poi.fused.v1）。,{}
or.road.fused.v1,output_requirement,enforces_schema_policy,执行输出模式策略,osp.road.fused.v1,output_schema_policy,or.road.fused.v1（or.road.fused.v1）执行输出模式策略osp.road.fused.v1（osp.road.fused.v1）。,{}
or.water.fused.v1,output_requirement,enforces_schema_policy,执行输出模式策略,osp.water.fused.v1,output_schema_policy,or.water.fused.v1（or.water.fused.v1）执行输出模式策略osp.water.fused.v1（osp.water.fused.v1）。,{}
or.waterways.fused.v1,output_requirement,enforces_schema_policy,执行输出模式策略,osp.waterways.fused.v1,output_schema_policy,or.waterways.fused.v1（or.waterways.fused.v1）执行输出模式策略osp.waterways.fused.v1（osp.waterways.fused.v1）。,{}
task.building.fusion,task,has_data_need,具有数据需求,dn.task.building.fusion.input,data_need,Building Fusion（task.building.fusion）具有数据需求dn.task.building.fusion.input（dn.task.building.fusion.input）。,"{""direction"": ""consumes""}"
task.building.fusion,task,has_data_need,具有数据需求,dn.task.building.fusion.output,data_need,Building Fusion（task.building.fusion）具有数据需求dn.task.building.fusion.output（dn.task.building.fusion.output）。,"{""direction"": ""produces""}"
task.poi.fusion,task,has_data_need,具有数据需求,dn.task.poi.fusion.input,data_need,POI Fusion（task.poi.fusion）具有数据需求dn.task.poi.fusion.input（dn.task.poi.fusion.input）。,"{""direction"": ""consumes""}"
task.poi.fusion,task,has_data_need,具有数据需求,dn.task.poi.fusion.output,data_need,POI Fusion（task.poi.fusion）具有数据需求dn.task.poi.fusion.output（dn.task.poi.fusion.output）。,"{""direction"": ""produces""}"
task.road.fusion,task,has_data_need,具有数据需求,dn.task.road.fusion.input,data_need,Road Fusion（task.road.fusion）具有数据需求dn.task.road.fusion.input（dn.task.road.fusion.input）。,"{""direction"": ""consumes""}"
task.road.fusion,task,has_data_need,具有数据需求,dn.task.road.fusion.output,data_need,Road Fusion（task.road.fusion）具有数据需求dn.task.road.fusion.output（dn.task.road.fusion.output）。,"{""direction"": ""produces""}"
task.trajectory_to_road,task,has_data_need,具有数据需求,dn.task.trajectory_to_road.input,data_need,Trajectory To Road Candidate（task.trajectory_to_road）具有数据需求dn.task.trajectory_to_road.input（dn.task.trajectory_to_road.input）。,"{""direction"": ""consumes""}"
task.trajectory_to_road,task,has_data_need,具有数据需求,dn.task.trajectory_to_road.output,data_need,Trajectory To Road Candidate（task.trajectory_to_road）具有数据需求dn.task.trajectory_to_road.output（dn.task.trajectory_to_road.output）。,"{""direction"": ""produces""}"
task.water.fusion,task,has_data_need,具有数据需求,dn.task.water.fusion.input,data_need,Water Fusion（task.water.fusion）具有数据需求dn.task.water.fusion.input（dn.task.water.fusion.input）。,"{""direction"": ""consumes""}"
task.water.fusion,task,has_data_need,具有数据需求,dn.task.water.fusion.output,data_need,Water Fusion（task.water.fusion）具有数据需求dn.task.water.fusion.output（dn.task.water.fusion.output）。,"{""direction"": ""produces""}"
task.waterways.fusion,task,has_data_need,具有数据需求,dn.task.waterways.fusion.input,data_need,Waterways Fusion（task.waterways.fusion）具有数据需求dn.task.waterways.fusion.input（dn.task.waterways.fusion.input）。,"{""direction"": ""consumes""}"
task.waterways.fusion,task,has_data_need,具有数据需求,dn.task.waterways.fusion.output,data_need,Waterways Fusion（task.waterways.fusion）具有数据需求dn.task.waterways.fusion.output（dn.task.waterways.fusion.output）。,"{""direction"": ""produces""}"
algo.enrich.building.height_from_raster.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.enrich.building.height_from_raster.v1.height_output_field,parameter_spec,FusionCode Building Height From Raster（algo.enrich.building.height_from_raster.v1）具有参数规范Height Output Field（ps.algo.enrich.building.height_from_raster.v1.height_output_field）。,"{""parameter_key"": ""height_output_field""}"
algo.enrich.building.height_from_raster.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.enrich.building.height_from_raster.v1.n_jobs,parameter_spec,FusionCode Building Height From Raster（algo.enrich.building.height_from_raster.v1）具有参数规范N Jobs（ps.algo.enrich.building.height_from_raster.v1.n_jobs）。,"{""parameter_key"": ""n_jobs""}"
algo.enrich.building.height_from_raster.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.enrich.building.height_from_raster.v1.positive_only,parameter_spec,FusionCode Building Height From Raster（algo.enrich.building.height_from_raster.v1）具有参数规范Positive Only（ps.algo.enrich.building.height_from_raster.v1.positive_only）。,"{""parameter_key"": ""positive_only""}"
algo.fusion.building.safe,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.safe.match_similarity_threshold,parameter_spec,Building Fusion Safe Fallback（algo.fusion.building.safe）具有参数规范Match Similarity Threshold（ps.algo.fusion.building.safe.match_similarity_threshold）。,"{""parameter_key"": ""match_similarity_threshold""}"
algo.fusion.building.safe,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.safe.one_to_one_min_area_similarity,parameter_spec,Building Fusion Safe Fallback（algo.fusion.building.safe）具有参数规范One-to-One Min Area Similarity（ps.algo.fusion.building.safe.one_to_one_min_area_similarity）。,"{""parameter_key"": ""one_to_one_min_area_similarity""}"
algo.fusion.building.safe,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.safe.one_to_one_min_overlap_similarity,parameter_spec,Building Fusion Safe Fallback（algo.fusion.building.safe）具有参数规范One-to-One Min Overlap Similarity（ps.algo.fusion.building.safe.one_to_one_min_overlap_similarity）。,"{""parameter_key"": ""one_to_one_min_overlap_similarity""}"
algo.fusion.building.safe,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.safe.one_to_one_min_shape_similarity,parameter_spec,Building Fusion Safe Fallback（algo.fusion.building.safe）具有参数规范One-to-One Min Shape Similarity（ps.algo.fusion.building.safe.one_to_one_min_shape_similarity）。,"{""parameter_key"": ""one_to_one_min_shape_similarity""}"
algo.fusion.building.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.v1.match_similarity_threshold,parameter_spec,Building Fusion Legacy（algo.fusion.building.v1）具有参数规范Match Similarity Threshold（ps.algo.fusion.building.v1.match_similarity_threshold）。,"{""parameter_key"": ""match_similarity_threshold""}"
algo.fusion.building.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.v1.one_to_one_min_area_similarity,parameter_spec,Building Fusion Legacy（algo.fusion.building.v1）具有参数规范One-to-One Min Area Similarity（ps.algo.fusion.building.v1.one_to_one_min_area_similarity）。,"{""parameter_key"": ""one_to_one_min_area_similarity""}"
algo.fusion.building.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.v1.one_to_one_min_overlap_similarity,parameter_spec,Building Fusion Legacy（algo.fusion.building.v1）具有参数规范One-to-One Min Overlap Similarity（ps.algo.fusion.building.v1.one_to_one_min_overlap_similarity）。,"{""parameter_key"": ""one_to_one_min_overlap_similarity""}"
algo.fusion.building.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.building.v1.one_to_one_min_shape_similarity,parameter_spec,Building Fusion Legacy（algo.fusion.building.v1）具有参数规范One-to-One Min Shape Similarity（ps.algo.fusion.building.v1.one_to_one_min_shape_similarity）。,"{""parameter_key"": ""one_to_one_min_shape_similarity""}"
algo.fusion.poi.geohash_neighbor_match.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.poi.geohash_neighbor_match.v1.name_similarity_threshold,parameter_spec,FusionCode POI Geohash Neighbor Match（algo.fusion.poi.geohash_neighbor_match.v1）具有参数规范Name Similarity Threshold（ps.algo.fusion.poi.geohash_neighbor_match.v1.name_similarity_threshold）。,"{""parameter_key"": ""name_similarity_threshold""}"
algo.fusion.poi.geohash_neighbor_match.v1,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.poi.geohash_neighbor_match.v1.neighbor_rings,parameter_spec,FusionCode POI Geohash Neighbor Match（algo.fusion.poi.geohash_neighbor_match.v1）具有参数规范Neighbor Rings（ps.algo.fusion.poi.geohash_neighbor_match.v1.neighbor_rings）。,"{""parameter_key"": ""neighbor_rings""}"
algo.fusion.road.conflation.v7,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.road.conflation.v7.angle_threshold,parameter_spec,FusionCode V7 Road Conflation（algo.fusion.road.conflation.v7）具有参数规范Angle Threshold（ps.algo.fusion.road.conflation.v7.angle_threshold）。,"{""parameter_key"": ""angle_threshold""}"
algo.fusion.road.conflation.v7,algorithm,has_parameter_spec,具有参数规范,ps.algo.fusion.road.conflation.v7.cleanup_mode,parameter_spec,FusionCode V7 Road Conflation（algo.fusion.road.conflation.v7）具有参数规范Cleanup Mode（ps.algo.fusion.road.conflation.v7.cleanup_mode）。,"{""parameter_key"": ""cleanup_mode""}"
